epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5919,1.31017,3.17989,1.50569,0.00379,1,0.73003,0.52717,0.80487,2.83872,1.09396,0.0003334,0.0003334,0.0003334
2,24.7122,0.99937,1.74232,1.21333,1,0.49873,0.995,0.67795,1.00205,2.44004,1.19053,0.000669937,0.000669937,0.000669937
3,32.0121,1.07996,1.48794,1.21038,0.96486,0.5,0.99423,0.74395,0.86253,2.05922,1.10723,0.000992612,0.000992612,0.000992612
4,41.3331,0.99771,1.36843,1.16479,0.96314,0.99716,0.99125,0.73788,0.95886,1.26432,1.21859,0.00130142,0.00130142,0.00130142
5,47.8076,1.0006,1.34449,1.15947,0.93861,0.77368,0.96863,0.68769,0.96022,1.8985,1.13492,0.00153497,0.00153497,0.00153497
6,56.9114,0.98103,1.17192,1.15273,0.98258,1,0.995,0.73465,0.86903,1.13831,1.12128,0.00150197,0.00150197,0.00150197
7,63.3147,0.97472,1.10437,1.12051,0.98267,1,0.995,0.74762,0.89028,0.93653,1.07687,0.00146896,0.00146896,0.00146896
8,71.9126,0.95384,1.04407,1.11573,0.99044,1,0.995,0.75311,0.85459,0.88803,1.05865,0.00143595,0.00143595,0.00143595
9,78.9286,0.94568,0.91308,1.09879,0.98782,1,0.995,0.77525,0.83972,0.76428,1.06163,0.00140295,0.00140295,0.00140295
10,86.5763,0.91826,0.8779,1.10252,0.76993,0.5,0.77387,0.60605,0.8222,2.50229,1.04331,0.00136994,0.00136994,0.00136994
11,94.5622,0.88102,0.82182,1.07327,0.71485,0.95767,0.995,0.7732,0.80825,1.10003,0.99802,0.00133693,0.00133693,0.00133693
12,102.043,0.91273,0.8025,1.08391,0.99169,1,0.995,0.7598,0.7855,0.59361,1.02041,0.00130393,0.00130393,0.00130393
13,110.57,0.83647,0.73201,1.06287,0.53477,0.60875,0.61946,0.44982,0.88677,1.45381,1.06851,0.00127092,0.00127092,0.00127092
14,117.316,0.87643,0.72656,1.07029,0.99418,1,0.995,0.77665,0.80073,0.51506,1.00924,0.00123791,0.00123791,0.00123791
15,125.916,0.86249,0.71587,1.04592,0.97228,1,0.9885,0.74724,0.8429,0.47755,1.02019,0.00120491,0.00120491,0.00120491
16,132.39,0.90552,0.68491,1.07618,0.99692,1,0.995,0.78616,0.74398,0.42969,0.98146,0.0011719,0.0011719,0.0011719
17,141.672,0.84404,0.64861,1.05343,0.99734,1,0.995,0.74388,0.82283,0.43308,1.03457,0.00113889,0.00113889,0.00113889
18,148.196,0.88492,0.65536,1.06009,0.99277,1,0.995,0.7779,0.70338,0.44842,0.96632,0.00110589,0.00110589,0.00110589
19,157.739,0.85225,0.63152,1.05045,0.98992,1,0.995,0.76275,0.69135,0.42963,0.98495,0.00107288,0.00107288,0.00107288
20,164.283,0.78182,0.58018,1.02601,0.99607,1,0.995,0.77325,0.73744,0.40694,1.00174,0.00103987,0.00103987,0.00103987
21,173.518,0.82729,0.59476,1.03621,0.99703,1,0.995,0.7695,0.71942,0.4208,0.96439,0.00100687,0.00100687,0.00100687
22,179.991,0.83645,0.58024,1.05158,0.99691,1,0.995,0.77805,0.74745,0.41723,0.97555,0.000973861,0.000973861,0.000973861
23,188.203,0.79164,0.55658,1.01504,0.99632,1,0.995,0.7844,0.68855,0.36334,0.95291,0.000940855,0.000940855,0.000940855
24,195.867,0.77337,0.51957,1.00573,0.99506,1,0.995,0.82074,0.7304,0.41308,0.97141,0.000907848,0.000907848,0.000907848
25,202.75,0.78106,0.5647,1.03599,0.99494,1,0.995,0.77997,0.70205,0.38216,0.97264,0.000874842,0.000874842,0.000874842
26,211.641,0.78016,0.53457,1.01819,0.997,1,0.995,0.81404,0.67454,0.36422,0.94745,0.000841835,0.000841835,0.000841835
27,218.095,0.78875,0.51514,1.02468,0.99739,1,0.995,0.778,0.70363,0.37091,0.98843,0.000808828,0.000808828,0.000808828
28,227.349,0.75544,0.49677,0.99535,0.99645,1,0.995,0.79543,0.67716,0.35859,0.9531,0.000775822,0.000775822,0.000775822
29,233.756,0.73643,0.48576,1.00588,0.99575,1,0.995,0.76048,0.6962,0.35645,0.95351,0.000742815,0.000742815,0.000742815
30,243.021,0.75719,0.4872,1.01759,0.99622,1,0.995,0.7829,0.75519,0.36631,0.99574,0.000709809,0.000709809,0.000709809
31,249.348,0.77576,0.48428,1.00717,0.99512,1,0.995,0.77563,0.78844,0.38528,0.98855,0.000676802,0.000676802,0.000676802
32,258.673,0.72563,0.46654,0.98479,0.99621,1,0.995,0.81352,0.63678,0.33804,0.93876,0.000643795,0.000643795,0.000643795
33,265.454,0.73466,0.46905,0.98035,0.99635,1,0.995,0.80668,0.65081,0.34082,0.94702,0.000610789,0.000610789,0.000610789
34,273.307,0.725,0.46261,1.01192,0.99737,1,0.995,0.8224,0.58324,0.30562,0.92136,0.000577782,0.000577782,0.000577782
35,280.923,0.74119,0.47475,1.0071,0.99631,1,0.995,0.8091,0.65854,0.32706,0.95408,0.000544776,0.000544776,0.000544776
36,287.987,0.71603,0.46437,1.00151,0.99718,1,0.995,0.78659,0.74154,0.36087,0.98327,0.000511769,0.000511769,0.000511769
37,296.012,0.73543,0.44787,1.01056,0.99669,1,0.995,0.8311,0.62834,0.33488,0.92996,0.000478762,0.000478762,0.000478762
38,302.858,0.73901,0.43897,0.9995,0.99735,1,0.995,0.81166,0.66068,0.32382,0.93981,0.000445756,0.000445756,0.000445756
39,311.848,0.71469,0.44414,1.00784,0.99689,1,0.995,0.81253,0.62614,0.3002,0.95291,0.000412749,0.000412749,0.000412749
40,318.382,0.69208,0.43114,0.98176,0.99659,1,0.995,0.80774,0.66718,0.32015,0.95749,0.000379743,0.000379743,0.000379743
41,329.559,0.65981,0.3871,0.95884,0.99658,1,0.995,0.80596,0.63311,0.30861,0.9385,0.000346736,0.000346736,0.000346736
42,335.88,0.64842,0.37461,0.95993,0.99598,1,0.995,0.84854,0.62861,0.30812,0.92887,0.000313729,0.000313729,0.000313729
43,345.052,0.62314,0.36407,0.94593,0.99689,1,0.995,0.82955,0.60467,0.29736,0.93282,0.000280723,0.000280723,0.000280723
44,351.181,0.62858,0.36824,0.9535,0.99683,1,0.995,0.82561,0.65647,0.30732,0.93985,0.000247716,0.000247716,0.000247716
45,359.485,0.60855,0.36321,0.94333,0.99648,1,0.995,0.82933,0.59514,0.31127,0.93092,0.00021471,0.00021471,0.00021471
46,366.169,0.61002,0.35645,0.95825,0.99664,1,0.995,0.8291,0.62515,0.30223,0.93537,0.000181703,0.000181703,0.000181703
47,373.085,0.60106,0.34807,0.93305,0.99686,1,0.995,0.81609,0.6197,0.30003,0.93536,0.000148696,0.000148696,0.000148696
48,381.731,0.59934,0.34604,0.94784,0.9967,1,0.995,0.82391,0.60775,0.29231,0.92709,0.00011569,0.00011569,0.00011569
49,387.803,0.5842,0.33206,0.93095,0.99708,1,0.995,0.82572,0.61616,0.28656,0.92635,8.26832e-05,8.26832e-05,8.26832e-05
50,397.036,0.57071,0.33329,0.92921,0.99689,1,0.995,0.82114,0.62236,0.28407,0.92759,4.96766e-05,4.96766e-05,4.96766e-05
